UserId,ConditionId,ConditionName,Condition,TZ,TimeStart,TimeEnd,TimeElapsed,t1age,t1Company,t1own_edu,t1own_edu_Index,t1parental_edu,t1parental_edu_Index,t1PlaceOfWork,t1PlaceOfWork_Index,t1sex,t1sex_Index,t1BigFive1,t1BigFive2,t1BigFive3,t1BigFive4,t1BigFive5,t1BigFive6,t1BigFive7,t1BigFive8,t1BigFive9,t1BigFive10,t1BMPN1,t1BMPN2,t1BMPN3,t1BMPN4,t1BMPN5,t1BMPN6,t1BMPN7,t1BMPN8,t1BMPN9,t1BMPN10,t1BMPN11,t1BMPN12,t1BMPN13,t1BMPN14,t1BMPN15,t1BMPN16,t1BMPN17,t1BMPN18,t1CHIPS1,t1CHIPS2,t1CHIPS3,t1CHIPS4,t1CHIPS5,t1CHIPS6,t1CHIPS7,t1CHIPS8,t1CHIPS9,t1CHIPS10,t1CHIPS11,t1CHIPS12,t1CHIPS13,t1CHIPS14,t1CHIPS15,t1CHIPS16,t1CHIPS17,t1CHIPS18,t1CHIPS19,t1CHIPS20,t1CHIPS21,t1CHIPS22,t1CHIPS23,t1CHIPS24,t1CHIPS25,t1CHIPS26,t1CHIPS27,t1CHIPS28,t1CHIPS29,t1CHIPS30,t1CHIPS31,t1CHIPS32,t1CHIPS33,t1Elevation1,t1Elevation2,t1Guilt,t1Elevation4,t1Elevation5,t1Indebted,t1Elevation7,t1Elevation8,t1Elevation9,t1Elevation10,t1Empowerment1,t1Empowerment2,t1Empowerment3,t1Empowerment4,t1Empowerment5,t1Empowerment6,t1Empowerment7,t1Empowerment8,t1Empowerment9,t1Empowerment10,t1Empowerment11,t1Empowerment12,t1GQ_state1,t1GQ_state2,t1GQ_state3,t1GQ_state4,t1GQ_state5,t1GQ_state6,t1GQ_trait1,t1GQ_trait2,t1GQ_trait3,t1GQ_trait4,t1GQ_trait5,t1GQ_trait6,t1Humility1,t1Humility2,t1Humility3,t1Humility4,t1Humility5,t1Humility6,t1Intended_effort1,t1Intended_effort2,t1JPS1,t1JPS2,t1JPS3,t1JPS4,t1JPS5,t1JPS6,t1JPS7,t1JPS8,t1JPS9,t1NA1,t1NA2,t1NA3,t1NA4,t1NA5,t1NA6,t1NA7,t1NA8,t1NA9,t1NA10,t1OCB1,t1OCB2,t1OCB3,t1OCB4,t1OJS1,t1OJS2,t1OJS3,t1SHS1,t1SHS2,t1SHS3,t1SHS4,t1SWL1,t1SWL2,t1SWL3,t1SWL4,t1SWL5,t1Motiv_eff_control1,t1Motiv_eff_work1,t1Motiv_eff_work2,t1Motiv_eff_work3,t1Motiv_eff_work4,t1Motiv_eff_control2,t1Motiv_eff_control3,t1Motiv_eff_control4,t1Motiv_eff_health1,t1Motiv_eff_health2,t1Motiv_eff_health3,t1Motiv_eff_health4,t1Motiv_eff_kind1,t1Motiv_eff_kind2,t1Motiv_eff_kind3,t1Motiv_eff_kind4,t1Motiv_eff1,t1Motiv_eff2,t1Motiv_eff3,t1Motiv_eff4,t1Imotiv,t1StateAffect,t1StateSatis,t1weekly_affect,t1weekly_satis,t1Trigger_grat_kind,t1Trigger_control,t1Trigger_grat_health,t1Trigger_grat_work,complete
"4,127",193,Condition 1,Health,"Paris, Madrid",2/6/14 10:16,2/25/14 10:31,"27,374",45,LORÉAL,Lycée,1,Lun de mes parents ou les deux ont suivi des études supérieurs (post bac),2,Siège social,0,Femme,0,7,5,7,2,5,2,7,1,6,5,5,3,5,1,1,1,5,1,5,3,5,5,5,1,5,1,1,1,3,2,1,0,0,1,1,2,2,1,0,1,2,1,0,1,1,2,0,2,0,2,0,1,0,1,0,0,0,0,0,0,2,,,,,,,,,,,6,7,7,7,5,7,7,7,6,7,7,7,3,1,2,1,5,2,4,3,3,4,4,,7,7,7,6,4,7,4,5,7,6,2,6,6,5,5,5,5,3,1,2,1,2,1,1,1,1,1,6,6,7,6,6,1,6,6,6,5,6,5,5,5,5,6,,,,,,,,,7,6,7,7,,,,,7,6,7,7,6.75,6.54,6.34,0.13,0.26,,,,,0
"4,128",194,Condition 2,Work,"Paris, Madrid",2/6/14 14:45,2/11/14 15:10,"7,225",48,LOréal,Université,2,Lun de mes parents ou les deux ont suivi des études supérieurs (post bac),2,Autres,2,Femme,0,5,2,7,,7,7,5,3,5,3,3,2,3,3,3,3,3,4,2,5,3,2,3,2,3,4,2,3,3,3,3,3,0,0,0,3,1,0,2,2,1,1,0,2,0,3,0,1,0,3,0,3,2,1,0,0,0,2,0,0,0,6,4,2,4,5,4,6,6,7,4,7,7,7,7,7,7,7,7,7,7,5,7,3,2,2,2,5,4,5,2,5,5,2,,3,5,7,5,6,3,5,5,6,6,6,5,5,1,2,2,2,3,1,3,3,1,1,1,1,2,4,7,6,7,6,6,2,6,5,3,4,6,5,6,6,6,5,,7,6,6,6,,,,,,,,,,,,7,6,6,6,6.25,-3,-4,-4,-3,,,,"Chère Marie-Hélène,
Merci de mavoir apporté ton aide, surtout davoir pris du temps pour mécouter et tintéresser à moi.
Cela fait du bien.
Tes conseils sont toujours avisés et tu pointes toujours du doigt ce que je pressens mais que je ne veux pas formuler. Je prends toujours prétexte du manque de temps, du ""trop de travail"" pour ne pas prendre le temps de me poser et de penser à moi.
Alors, oui, jai décidé de faire ce que tu mas dit ; je vais prendre le temps de moccuper de moi, de ma carrière et de passer quelques coups de fil. Lentreprise me doit bien ça...
Je te tiens au courant de la suite et je sais que tu vas me suivre de près et ne pas me lâcher.
Merci pour ta disponibilité, ton empathie, ton soutien, ton attention sans faille.
Amicalement.",1
"4,129",200,Condition 4,Kindness,"Paris, Madrid",2/6/14 16:35,4/17/14 17:48,"100,872",49,LOréal,Troisième cycle,4,Lun de mes parents ou les deux ont ont eu leur baccalauréat,1,Autres,2,Homme,1,6,3,7,7,6,6,7,5,2,6,4,3,4,1,3,5,2,2,4,3,2,5,3,2,3,1,3,2,3,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,7,6,2,7,7,7,7,7,7,6,7,6,4,6,7,7,3,3,7,5,4,5,7,7,7,7,6,5,7,2,7,7,7,,3,7,7,6,7,1,2,7,4,6,6,5,5,1,1,1,2,3,1,3,2,2,1,1,1,2,6,7,6,6,6,2,2,5,4,5,2,2,7,7,6,6,5,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,2,2,-4,0,"Chères A&B,

il ny a pas de mots assez grands pour vous témoigner la reconnaissance que je vous porte pour tout ce que vous avez fait pour Béné et moi, dabbord.
Vous mavez accueilli et considéré comme Béné, en dépit des écarts de vision tenant à nos générations et éducations éloignées.
Vous nous avez soutenus dans nos épreuves familiales et vous avez cru en nous, en notre avenir et capacité à nous développer personnellement.
Vous avez accepté dêtre une famille de substitution pour nous et ensuite pour nos enfants.
Votre accueil, vos attentions constantes ont été comme le tuteur dun arbre dans notre vie.
Vous êtes admirables. Grace à vous nous avons eu du soutien, nous avons été confortés dans nos choix, vous nous avez aussi servi de reprère, de référence et dappui.
Vous nous avez ouvert la prote et offert votre générosité au-delà de ce que jaurais pu imaginé possible des gens dune même famille, alors que nous navons aucun lien de parenté. 

Ma gratitude envers vous est immense et ne cesse de se développer. Ce que nous exprimons quelques fois semble dérisoire au regard de ce que jéprouve à votre égard.

Je vous remercie du fond du coeur et vous embrasse.
Avec mon incommensurable et eternelle reconnaissance.",,,,1
"4,133",200,Condition 4,Kindness,"Paris, Madrid",2/7/14 12:41,4/22/14 8:06,"106,285",,LOREAL,Troisième cycle,4,Lun de mes parents ou les deux ont un diplôme universitaire,3,Siège social,0,Femme,0,6,1,6,5,7,6,6,2,7,2,5,5,4,5,4,5,5,3,5,3,5,3,4,3,5,3,4,4,2,0,2,0,0,2,0,3,0,0,0,0,1,0,0,3,1,2,0,1,2,0,0,0,2,0,0,0,0,0,0,0,4,5,4,1,7,6,4,7,7,7,7,6,6,5,5,6,6,6,5,6,6,5,5,7,6,7,7,6,7,7,6,7,2,5,,7,7,7,6,6,1,2,4,5,4,7,7,7,7,5,6,6,1,1,1,1,1,1,1,1,1,1,3,3,4,5,6,1,6,7,6,7,7,6,6,6,7,6,,,,,,,,,,,,,6,7,7,7,6,7,7,7,6.75,7,7,-1,1,"Cher David, 
je sais que je peux compter sur toi et que même lorsque je me sens nulle, et que jai limpression que la vie est vide de sens , tu trouves toujours les mots, les situations pour me permettre de voir autrement la réalité : le plus important, ce sont les gens que jaime et les moments passés ensemble, le reste est accessoire..
merci de toujours maider à penser autrement , voir out of the box, prendre du recul pour y arriver ! 
Amicalement",,,,1
"4,134",194,Condition 2,Work,"Paris, Madrid",2/7/14 12:41,4/18/14 14:54,"100,932",49,LOréal,Études supérieures,3,Lun de mes parents ou les deux ont un diplôme universitaire,3,Siège social,0,Homme,1,6,5,6,5,6,3,3,1,5,2,3,2,3,2,3,4,3,4,4,3,3,4,4,3,4,4,3,4,2,0,3,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,6,4,2,5,5,6,5,6,6,4,6,6,6,6,7,6,6,6,6,6,6,6,4,4,4,5,5,6,5,3,5,4,5,,5,6,7,7,7,7,4,4,6,5,6,5,5,6,5,5,5,3,1,1,3,3,1,1,1,3,4,5,6,6,6,6,2,6,5,4,3,6,2,5,2,6,2,,6,5,6,5,,,,,,,,,,,,6,5,6,5,5.5,-3,-8,-5,-6,,,,,0
"4,135",195,Condition 3,Control,"Paris, Madrid",2/7/14 13:16,2/14/14 13:56,"10,119",60,LOREAL,Lycée,1,Lun de mes parents ou les deux ont ont eu leur baccalauréat,1,Siège social,0,Femme,0,7,5,7,7,7,2,7,1,2,1,3,1,3,3,3,5,1,5,3,5,5,5,5,3,3,5,2,4,2,4,2,0,2,0,2,1,1,0,0,0,0,1,0,2,0,2,2,1,1,3,0,1,1,,1,0,0,0,,0,2,1,1,3,4,,1,1,1,1,,5,7,7,4,5,5,6,6,5,6,7,5,4,3,3,2,4,5,4,2,5,2,2,,2,7,4,6,6,3,5,4,7,7,7,1,2,1,1,2,1,1,2,2,2,2,1,1,1,7,1,7,7,7,7,5,1,5,4,4,3,3,5,5,5,5,3,5,,,,,7,6,6,,,,,,,,,5,7,6,6,6,-1,-3,-4,-5,,"7 DERNIERS JOURS / REDIGER UN ACCORD GPEC /CREER UN PROJET CREATION D ENTREPRIS PRIS LE LEAD DANS UNE REUNION SUR LES OCM 
8 MINUTES  LIRE MES MAILS REVOIR UNE PRESENTATION RELIRE UNE CONVENTION ET FINALISER ORCHESTRER MON AGENDA POUR LA SEMAINE PROCHAINE",,,1
"4,136",194,Condition 2,Work,"Paris, Madrid",2/7/14 13:37,2/7/14 14:01,23,46,LOréal Luxe France,N’a eu son baccalauréat,0,Aucun de mes parents na n’a eu son baccalauréat,0,Autres,2,Femme,0,5,1,7,2,7,1,7,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,,1,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,7,7,4,5,4,3,3,5,5,5,4,5,5,,6,6,7,7,6,7,6,5,6,6,6,6,6,6,5,5,5,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,1,7,6,5,6,1,7,7,7,7,7,,6,6,6,6,,,,,,,,,,,,6,6,6,6,6,10,10,8,8,,,,,0
"4,137",195,Condition 3,Control,"Paris, Madrid",2/7/14 13:47,3/4/14 7:59,"35,651",33,LOréal,Troisième cycle,4,Lun de mes parents ou les deux ont suivi des études supérieurs (post bac),2,Siège social,0,Femme,0,7,2,6,1,7,5,6,2,3,1,,,,,,,,,,,,,,,,,,,3,3,3,0,0,0,0,4,3,3,0,0,0,2,0,3,3,0,0,0,2,0,0,0,3,2,2,0,0,2,0,0,1,,,,,,,,,,,7,7,7,5,7,7,5,4,7,7,5,4,,,,,,,5,3,7,3,6,,,,,,,,,,5,5,6,5,5,5,3,4,3,,,,,,,,,,,7,7,7,7,3,5,3,5,5,6,7,5,6,5,5,3,,,,,,,,,,,,,,,,,,,,,,,,6,7,,,,,0
"4,138",193,Condition 1,Health,"Paris, Madrid",2/7/14 14:50,4/23/14 8:53,"107,642",43,LOreal,Études supérieures,3,Lun de mes parents ou les deux ont suivi des études supérieurs (post bac),2,Autres,2,Femme,0,7,3,6,1,7,2,6,1,6,1,4,4,4,5,2,3,4,5,4,3,4,5,4,3,4,3,4,5,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,6,3,4,6,6,5,6,6,6,6,6,7,7,7,6,7,7,7,6,6,6,6,6,6,7,5,5,7,6,6,7,1,3,,5,5,4,4,5,6,5,5,6,1,5,6,6,6,5,4,3,3,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,6,6,6,6,7,6,6,6,6,5,,,,,,,,,6,7,6,6,,,,,6,7,6,6,6.25,6,6,5,5,,,"Mes chers enfants,

Il y a quelques années vous mavez demandé darrêter de fumer, que vous mavez dit que vous aviez peur que je puisse tomber malade, mourrir du cancer, que vous aviez besoin de moi. Vous navez demandé dentrendre votre peur et de faire la promesse darrêter de fumer. Jai promis mais jai mis longtemps à tenir cette promesse. Nous sommes partis en vacances au bout du monde lété dernier et jai alors arrêté de fumer, un jour, deux jours, ...chaque fois que je flanchais, je vous disais combien lenvie de fumer était forte alors vous me consoliez, vous me disiez que cétait bien ce que jétais en train de faire, quil fallait être courageuse. Hier, cela fera 6 mois exactement, lenvie revient parfois mais je nai pas refumé. Lorsque je vous rappelle que jai arrété de fumer, vous me  demandez toujours, suscpicieux, tu es sûre, même pas une...et puis, vous me dites, nous te féliciterons lorsque cela fera un an.
Grâce à vous, jai une vie plus saine, le souffle long et sans doute, ma vie sera t-elle plus longue aussi...

Merci mes amours !",,1
"4,139",200,Condition 4,Kindness,"Paris, Madrid",2/7/14 15:00,2/7/14 15:22,21,30,LOréal,Troisième cycle,4,Lun de mes parents ou les deux ont un diplôme universitaire,3,Siège social,0,Femme,0,7,5,7,7,7,5,7,1,3,1,,,,,,,,,,,,,,,,,,,0,0,3,1,0,0,0,0,2,2,0,0,1,0,0,1,2,0,0,0,0,1,0,0,2,2,0,0,0,3,0,0,1,,,,,,,,,,,7,7,7,7,7,7,6,6,7,7,7,6,,,,,,,7,4,7,3,,,,,,,,,,,7,,7,7,7,7,6,6,6,,,,,,,,,,,7,7,7,7,7,1,7,5,5,2,2,6,6,6,7,6,,,,,,,,,,,,,7,7,4,4,7,7,4,4,5.5,,,9,9,,,,,0
